Cards in Hand,Rank of Hand,Hand Winning Percent
H5 D2 D4 DA H2 ,One Pair,0.727
S9 C6 H6 DA SQ ,One Pair,0.719
ST HJ DA H8 S9 ,High Card,0.027
S2 CK H2 HQ C2 ,Three of A Kind,0.979
S6 D7 HJ S9 SJ ,One Pair,0.714
D5 H3 C3 H6 D6 ,Two Pair,0.879
S5 S7 C4 D8 H3 ,High Card,0.051
CA S3 HK C8 C4 ,High Card,0.057
C4 DT S6 C8 S4 ,One Pair,0.704
ST D8 SA C5 HQ ,High Card,0.026
H6 C9 D2 H2 H7 ,One Pair,0.735
C9 D9 S6 HJ ST ,One Pair,0.675
S5 CQ HK HQ D8 ,One Pair,0.704
C4 DJ C8 H4 DQ ,One Pair,0.711
CT D4 DQ C5 CQ ,One Pair,0.703
H6 S3 D7 HK CQ ,High Card,0.056
C9 H2 SQ DA DK ,High Card,0.044
D6 S4 DJ H4 HT ,One Pair,0.713
C6 D9 SA S3 CT ,High Card,0.058
D2 D5 CQ SA C2 ,One Pair,0.723
SK H2 S8 D3 H8 ,One Pair,0.706
S4 DQ CA SQ D2 ,One Pair,0.752
S4 C4 SA D3 C7 ,One Pair,0.709
S5 SQ SA D6 CJ ,High Card,0.053
D3 SA D7 C8 CA ,One Pair,0.737
CQ H2 D4 H4 DJ ,One Pair,0.7
HJ H8 HA C4 CK ,High Card,0.057
D4 H4 D9 H6 DT ,One Pair,0.718
D4 HT D7 C5 CA ,High Card,0.05
S8 HA SK C4 H4 ,One Pair,0.72
S5 CQ C5 D3 S7 ,One Pair,0.724
SJ S7 C4 SQ C5 ,High Card,0.047
DT CK H3 SK D9 ,One Pair,0.719
C3 D6 CJ C8 D2 ,High Card,0.053
H5 H6 S6 H9 D5 ,Two Pair,0.884
S3 H2 DK ST S2 ,One Pair,0.706
D8 D6 D4 C6 H5 ,One Pair,0.739
CJ ST HA H2 H5 ,High Card,0.043
S2 C5 D7 H6 D8 ,High Card,0.056
C8 D6 C3 CT H6 ,One Pair,0.711
HQ S6 HA C7 CQ ,One Pair,0.725
C3 C5 H7 C6 C2 ,High Card,0.042
S6 H8 H5 C2 SQ ,High Card,0.047
S9 S3 SK SJ C4 ,High Card,0.057
C7 S6 C6 H9 SK ,One Pair,0.729
CK SQ D5 CA C4 ,High Card,0.06
CT H9 DQ DA H2 ,High Card,0.047
H9 SA CQ CK C9 ,One Pair,0.731
CA C2 S9 H3 S4 ,High Card,0.053
D6 H5 ST S3 H9 ,High Card,0.046
D3 H5 DT D5 C2 ,One Pair,0.704
C2 CJ H6 D4 D7 ,High Card,0.055
D3 CA H6 SJ HT ,High Card,0.038
H9 DQ D3 D2 S3 ,One Pair,0.723
SK C2 C9 HK D5 ,One Pair,0.738
HJ SA CJ H5 C2 ,One Pair,0.734
C7 CQ DQ H2 S5 ,One Pair,0.731
C2 SJ H5 D5 S4 ,One Pair,0.757
C9 CA D4 SA DA ,Three of A Kind,0.976
S6 H7 C3 D3 SQ ,One Pair,0.733
H3 HA C4 D3 C5 ,One Pair,0.737
DQ S2 C5 H3 H9 ,High Card,0.051
CJ D9 S6 D3 SK ,High Card,0.049
D8 S3 H2 C3 HJ ,One Pair,0.726
SK DT S3 D7 DA ,High Card,0.04
CA H8 D4 C3 SQ ,High Card,0.054
H5 S7 S4 CJ H3 ,High Card,0.048
S9 CA D2 DA D9 ,Two Pair,0.873
C8 H6 CQ S7 S9 ,High Card,0.056
ST HQ D4 S7 D5 ,High Card,0.039
SJ ST H5 S3 HJ ,One Pair,0.7
D4 S4 D6 S7 S2 ,One Pair,0.741
H3 H6 S7 D6 ST ,One Pair,0.696
S4 DK SA DQ HQ ,One Pair,0.719
SK HK CK C6 H9 ,Three of A Kind,0.979
CK H6 C8 S4 SA ,High Card,0.052
CJ DQ H8 DA H7 ,High Card,0.053
SA DQ HQ SQ D2 ,Three of A Kind,0.983
H2 DK HK C7 H7 ,Two Pair,0.879
D9 H8 ST H7 D3 ,High Card,0.044
D2 H4 S9 SA CA ,One Pair,0.736
S7 CA H8 H9 HJ ,High Card,0.051
S8 D6 HA C2 D2 ,One Pair,0.739
DQ D2 SK DJ H6 ,High Card,0.048
H2 SK ST DT S2 ,One Pair,0.678
D7 H6 C7 SQ D5 ,One Pair,0.707
DA HK D7 SA D8 ,One Pair,0.718
S8 HT S9 CQ H6 ,High Card,0.042
H7 ST H8 D2 S7 ,One Pair,0.716
C9 SA DT HT HJ ,High Card,0.032
CK ST D7 HA HQ ,High Card,0.034
C9 SA H2 HQ S9 ,One Pair,0.698
HA H5 D8 CQ H7 ,High Card,0.057
DJ D3 C6 C7 DQ ,High Card,0.062
D7 C7 S3 C3 C4 ,Two Pair,0.855
C3 SJ D7 HA S6 ,High Card,0.045
H3 H4 S7 S4 D2 ,One Pair,0.733
S5 C5 C8 SQ S7 ,One Pair,0.731
H5 H4 DK D3 S9 ,High Card,0.033
HK S4 HA D5 H5 ,One Pair,0.738
CA CT CQ S8 D8 ,One Pair,0.693
S7 S3 SK H6 DJ ,High Card,0.061
H5 D2 HJ DJ D4 ,One Pair,0.744
SQ D8 C5 C9 H8 ,One Pair,0.723
H4 ST S9 H7 C6 ,High Card,0.045
H5 HQ SQ D3 HJ ,One Pair,0.72
CJ DQ H2 C3 S8 ,High Card,0.05
H7 SK H3 SA C5 ,High Card,0.056
C7 DQ C5 SJ D5 ,One Pair,0.726
D4 C6 C9 H5 H2 ,High Card,0.053
DQ DA H9 H7 D9 ,One Pair,0.737
CK C6 CJ CA C7 ,Flush,0.989
SA D5 S9 H9 H8 ,One Pair,0.714
H2 D7 CK C9 D3 ,High Card,0.048
D2 CJ S9 D3 H4 ,High Card,0.042
SK H3 SQ C8 H9 ,High Card,0.056
DK H7 CA H8 S6 ,High Card,0.045
C5 SJ CT S6 D8 ,High Card,0.036
H6 D2 SJ S7 CQ ,High Card,0.051
HQ DK CJ H3 DA ,High Card,0.052
CK HK SJ H4 D9 ,One Pair,0.691
H5 D5 S4 HA ST ,One Pair,0.699
CA DJ S7 S8 H3 ,High Card,0.05
C4 H5 DQ DA S2 ,High Card,0.05
CQ H9 H8 H7 HA ,High Card,0.061
HT S8 S5 D6 D2 ,High Card,0.038
HA S7 H2 ST H7 ,One Pair,0.714
HJ CQ H4 C7 CT ,High Card,0.046
H3 C5 HQ DA H6 ,High Card,0.05
S6 SQ DQ S3 HQ ,Three of A Kind,0.973
CT D2 H5 S4 C8 ,High Card,0.043
DJ S3 HK C4 S6 ,High Card,0.051
H5 S4 CQ SA D4 ,One Pair,0.717
D4 D7 HJ H3 HQ ,High Card,0.044
H3 S7 H2 H8 SQ ,High Card,0.041
H4 SJ S7 CQ DQ ,One Pair,0.713
C8 S5 S2 D3 D6 ,High Card,0.062
C6 D9 DQ S9 C2 ,One Pair,0.725
H7 HQ C7 CK C2 ,One Pair,0.731
D5 S2 H7 S8 S5 ,One Pair,0.722
CQ S6 SA CA S4 ,One Pair,0.702
C3 C4 H8 H2 SQ ,High Card,0.049
S6 H4 H2 H3 C7 ,High Card,0.045
D6 C3 C9 S8 S6 ,One Pair,0.707
SJ C2 D9 H8 H9 ,One Pair,0.739
D9 H3 H6 H8 DQ ,High Card,0.049
CA HT D4 S5 CK ,High Card,0.053
H7 H6 D4 HT ST ,High Card,0.03
DT S8 D5 D8 D7 ,One Pair,0.721
DK S9 CT C9 DJ ,One Pair,0.712
C5 DK C3 HJ ST ,High Card,0.044
C8 S3 C5 CA HK ,High Card,0.068
S6 CK D8 D5 D7 ,High Card,0.041
CJ HK D2 D5 S3 ,High Card,0.041
C3 C4 DQ D6 S5 ,High Card,0.05
C8 C3 H8 HQ HK ,One Pair,0.705
DJ SK DQ HK HJ ,Two Pair,0.875
H2 H4 CK C4 DK ,Two Pair,0.856
DT H2 C9 HJ DJ ,One Pair,0.665
C4 CK D3 C8 C7 ,High Card,0.06
C2 S4 D2 C8 S6 ,One Pair,0.71
D5 DQ H8 CA C3 ,High Card,0.053
D4 D6 C9 DT CK ,High Card,0.033
HJ D2 H8 S2 CQ ,One Pair,0.719
S7 HQ H5 D8 C7 ,One Pair,0.735
C8 SJ CK CJ C6 ,One Pair,0.724
HQ H4 H5 S3 S5 ,One Pair,0.723
D8 C3 ST D3 C2 ,One Pair,0.71
SK CQ C5 H8 C8 ,One Pair,0.728
CQ C3 C7 HK S9 ,High Card,0.048
C3 D7 S8 S3 D6 ,One Pair,0.723
S5 ST D4 SJ CQ ,High Card,0.035
H5 HJ H3 D6 C3 ,One Pair,0.721
S9 H7 C9 HK CK ,Two Pair,0.887
H7 D6 C3 S2 H6 ,One Pair,0.717
DA DJ HQ H2 C6 ,High Card,0.05
S5 SK ST D5 D3 ,One Pair,0.721
S2 D2 C3 SJ S7 ,One Pair,0.726
S6 H6 C7 D4 CQ ,One Pair,0.743
SK SJ DA CQ DT ,High Card,0.046
HA HJ S5 C9 C4 ,High Card,0.048
S3 H6 S6 S8 H8 ,Two Pair,0.89
SK H3 ST C8 S6 ,High Card,0.042
HQ S2 S3 HT S5 ,High Card,0.04
C5 CK S6 SQ ST ,High Card,0.045
HT S4 DK D3 D4 ,One Pair,0.715
SK DQ C9 SQ H4 ,One Pair,0.73
HK C5 S8 C2 D9 ,High Card,0.041
C4 H9 C7 H2 H3 ,High Card,0.055
S3 H3 DT H2 DQ ,One Pair,0.682
S6 HJ H3 D6 D9 ,One Pair,0.715
SA HT S7 C9 S9 ,One Pair,0.714
HJ H9 H8 S2 C6 ,High Card,0.049
S7 H4 D3 S5 D7 ,One Pair,0.702
HQ C3 HK H8 S6 ,High Card,0.056
DT S8 SK S3 D8 ,One Pair,0.7
H9 D4 S7 C2 S6 ,High Card,0.051
HT C9 S8 CA H8 ,One Pair,0.711
H4 CK C5 D6 CT ,High Card,0.048
S3 H5 S4 SQ H2 ,High Card,0.049
C2 H9 C4 D3 CQ ,High Card,0.056
CJ SK SA D8 C7 ,High Card,0.048
HK ST S2 DA C9 ,High Card,0.04
D6 HA CJ D8 HK ,High Card,0.045
ST DA C2 H9 D5 ,High Card,0.045
C8 S5 HK D2 D5 ,One Pair,0.746
D2 H2 H4 HT H7 ,One Pair,0.721
H2 DJ C5 S3 CA ,High Card,0.051
H6 H2 H7 C2 CQ ,One Pair,0.733
C3 HQ C6 S6 DQ ,Two Pair,0.883
HT S3 SJ DJ S8 ,One Pair,0.695
H2 S8 D2 D5 CK ,One Pair,0.714
D2 DQ S2 S8 DT ,One Pair,0.693
S3 C3 C2 CJ DK ,One Pair,0.756
HK DA S5 DK CQ ,One Pair,0.726
H8 CA SQ C8 ST ,One Pair,0.712
S7 DQ H2 S3 HQ ,One Pair,0.727
C5 HJ H3 S8 H6 ,High Card,0.045
C3 H9 H3 ST S4 ,One Pair,0.713
SJ S2 C6 ST SK ,High Card,0.032
CK D8 HA D2 DA ,One Pair,0.731
HT DQ C5 S8 H3 ,High Card,0.037
C7 ST H4 S2 SA ,High Card,0.042
H7 S3 DJ SJ DQ ,One Pair,0.718
S4 SJ H8 H6 S2 ,High Card,0.058
SK H6 DT CA HJ ,High Card,0.043
DK H9 CK S4 H7 ,One Pair,0.741
H9 C8 S3 S2 H8 ,One Pair,0.741
H3 DQ D7 S7 CQ ,Two Pair,0.891
D8 S9 DJ D4 D6 ,High Card,0.057
CA S7 CT HT H8 ,High Card,0.036
CJ CQ DQ C3 S7 ,One Pair,0.693
C6 S2 SQ HQ S9 ,One Pair,0.723
HA HQ DQ S3 D6 ,One Pair,0.719
H4 ST S7 D5 HQ ,High Card,0.033
D7 C3 H6 C8 C6 ,One Pair,0.705
D3 DQ H7 HT S2 ,High Card,0.039
D2 D8 DQ HT HQ ,One Pair,0.696
D9 S6 C8 DQ D3 ,High Card,0.052
S3 HJ SA S9 HT ,High Card,0.05
HK H3 S9 HQ D3 ,One Pair,0.711
DJ C2 CQ SA H9 ,High Card,0.064
D6 H5 HQ S3 DK ,High Card,0.063
D2 S8 SJ SA CQ ,High Card,0.047
DK SJ SQ C8 D3 ,High Card,0.051
S5 S3 CK D3 HT ,One Pair,0.715
D7 HT HQ DA H5 ,High Card,0.051
S6 H9 D2 C5 S7 ,High Card,0.055
S2 D2 D5 D8 S7 ,One Pair,0.731
DQ S6 S8 SK H8 ,One Pair,0.705
D3 HK CQ H2 C7 ,High Card,0.051
C2 S6 D9 DQ S4 ,High Card,0.05
D2 C8 S7 C3 ST ,High Card,0.051
SA C7 S3 HA D5 ,One Pair,0.736
HK S8 H4 C9 S2 ,High Card,0.048
S2 S4 S8 C3 CJ ,High Card,0.054
CK C3 D3 D9 DK ,Two Pair,0.881
D6 H4 S2 S5 C2 ,One Pair,0.748
S4 S7 D6 D7 C2 ,One Pair,0.715
C5 H7 H2 C3 H3 ,One Pair,0.724
CJ D5 S7 S6 S4 ,High Card,0.04
DA SA C9 H2 HK ,One Pair,0.755
HA H5 SJ H6 D4 ,High Card,0.062
D7 C3 H4 S6 H6 ,One Pair,0.721
C3 D7 S8 H3 SK ,One Pair,0.709
D2 D7 S8 H8 DA ,One Pair,0.719
CA SK D2 DA H4 ,One Pair,0.74
S8 C7 HQ C4 DT ,High Card,0.047
D2 ST SK DK S5 ,One Pair,0.721
H5 C3 S4 D9 SJ ,High Card,0.047
C5 DJ H5 SJ ST ,Two Pair,0.88
D3 H6 DQ SA S7 ,High Card,0.047
D4 C4 C7 CJ D6 ,One Pair,0.725
SK H5 CK HA SA ,Two Pair,0.892
HA H4 CJ D5 CK ,High Card,0.049
SQ CA C3 H6 D4 ,High Card,0.059
SQ D6 CQ HK DA ,One Pair,0.731
C4 C8 S5 HT H8 ,One Pair,0.709
SA H5 D6 DQ S3 ,High Card,0.032
S6 S7 HT ST D4 ,High Card,0.029
C6 D4 D2 D6 S9 ,One Pair,0.738
H6 SQ CT S4 H9 ,High Card,0.039
H2 D9 C2 SK S9 ,Two Pair,0.897
S2 SJ DA C6 DJ ,One Pair,0.727
C6 S5 D2 C4 S6 ,One Pair,0.722
H7 D3 S8 DJ C2 ,High Card,0.052
D6 D9 C4 H7 SJ ,High Card,0.043
SQ C2 H5 D9 D3 ,High Card,0.05
HK C7 CQ CA CT ,High Card,0.047
CT H9 DA H2 CK ,High Card,0.038
CT HT H4 D4 H5 ,One Pair,0.661
S4 H8 C7 DK CT ,High Card,0.042
S8 S2 D3 DJ CA ,High Card,0.053
HK DA HT C9 H5 ,High Card,0.046
H4 DT D9 HQ C2 ,High Card,0.038
D7 DT S2 D2 S4 ,One Pair,0.711
D7 SJ D9 S9 S7 ,Two Pair,0.87
HK C9 C3 D7 D9 ,One Pair,0.719
H2 D7 S3 H6 DK ,High Card,0.059
S9 S4 S7 S2 HK ,High Card,0.055
H7 C9 DQ D2 D3 ,High Card,0.047
ST SJ DK DA HT ,High Card,0.038
CQ D7 D3 C3 H5 ,One Pair,0.708
H2 H3 SA H6 H9 ,High Card,0.044
DA S8 S9 CJ C5 ,High Card,0.053
